Age,Gender,Country,Employment_Status,Annual_Income,Current_Savings,Retirement_Age_Goal,Risk_Tolerance,Contribution_Amount,Contribution_Frequency,Employer_Contribution,Total_Annual_Contribution,Years_Contributed,Investment_Type,Fund_Name,Annual_Return_Rate,Volatility,Fees_Percentage,Projected_Pension_Amount,Expected_Annual_Payout,Inflation_Adjusted_Payout,Years_of_Payout,Survivor_Benefits,Transaction_Amount,Transaction_Date,Suspicious_Flag,Anomaly_Score,Marital_Status,Number_of_Dependents,Education_Level,Health_Status,Life_Expectancy_Estimate,Home_Ownership_Status,Debt_Level,Monthly_Expenses,Savings_Rate,Investment_Experience_Level,Financial_Goals,Insurance_Coverage,Portfolio_Diversity_Score,Tax_Benefits_Eligibility,Government_Pension_Eligibility,Private_Pension_Eligibility,Pension_Type,Withdrawal_Strategy,Transaction_Channel,Geo_Location,Time_of_Transaction,Transaction_Pattern_Score,Previous_Fraud_Flag,Account_Age
40,Other,Canada,Unemployed,125042,499143,67,Medium,1502,Quarterly,338,2713,38,Real Estate,Jones and Sons,8.15,3.27,1.85,939737,68212,49266,11,No,6362,10/26/2022,No,0.08,Single,1,PhD,Average,89,Rent,46305,1854,0.26,Expert,Travel,Yes,0.71,No,No,No,Defined Benefit,Bucket,Online,Flemingfort,11:00:36,0.08,No,12
51,Female,UK,Unemployed,98879,404581,68,Low,991,Annually,291,10307,20,Bonds,Dougherty-Harris,3.26,3.77,1.61,93302,20190,68402,18,Yes,6692,12/16/2022,No,0,Single,2,PhD,Good,82,Mortgage,178151,1917,0.2,Expert,Home Purchase,Yes,0.98,Yes,No,Yes,Defined Benefit,Bucket,Branch,North Alyssa,3:44:14,0.44,No,28
30,Male,USA,Self-employed,139068,414532,62,Medium,722,Annually,513,12050,22,Real Estate,Webster Inc,6.44,4.66,0.17,234079,51001,65995,24,Yes,8831,6/5/2023,No,0.72,Single,4,PhD,Poor,89,Rent,24396,3375,0.09,Beginner,Healthcare,Yes,0.15,No,Yes,Yes,Defined Contribution,Fixed,Online,North Edwinshire,1:31:34,0.98,Yes,22
35,Male,UK,Full-time,141115,12323,61,High,1199,Quarterly,355,11766,37,Stocks,"Olson, Pacheco and Castaneda",8.62,4.36,0.28,953191,70333,16675,10,Yes,119,5/9/2020,No,0.11,Widowed,1,High School,Average,80,Rent,153617,7250,0.25,Expert,Home Purchase,Yes,0.31,Yes,Yes,Yes,Defined Benefit,Dynamic,Online,Clarkport,2:46:21,0.66,No,15
48,Female,Germany,Unemployed,51017,485223,69,Low,970,Annually,475,8630,34,Bonds,Hill-Christensen,10.83,1.95,1.33,992124,55671,41277,12,Yes,412,6/18/2025,No,0.44,Married,4,PhD,Poor,83,Rent,86940,6147,0.06,Expert,Travel,Yes,0.9,Yes,Yes,Yes,Defined Contribution,Fixed,Branch,Port David,15:57:18,0.04,No,6
55,Female,Canada,Retired,39670,321904,69,Medium,1350,Quarterly,789,23088,23,Real Estate,Bass LLC,10.03,2.32,1.86,730487,16583,44607,25,Yes,723,6/2/2024,No,0.06,Married,1,PhD,Poor,81,Own,8659,3824,0.12,Beginner,Healthcare,No,0.99,Yes,Yes,Yes,Defined Benefit,Bucket,Branch,Jonesland,6:38:42,0.89,No,8
47,Male,Australia,Self-employed,48303,54003,61,Low,861,Quarterly,327,4126,28,Stocks,"Gonzalez, Eaton and Rodriguez",8.94,2.17,1.38,295203,10696,50818,13,Yes,1030,8/30/2020,No,0.9,Widowed,4,Master's,Good,86,Rent,189897,4021,0.18,Beginner,Home Purchase,No,0.74,Yes,Yes,No,Defined Benefit,Fixed,Branch,North Matthewton,2:58:42,0.53,No,7
29,Female,UK,Part-time,127516,293654,62,Medium,481,Annually,517,21583,14,Bonds,Zimmerman-Frye,6.66,4.39,0.79,141363,50271,37859,17,Yes,9452,1/8/2022,No,0.6,Married,2,Master's,Good,81,Rent,40867,3907,0.25,Expert,Home Purchase,No,0.53,No,No,Yes,Defined Contribution,Fixed,Branch,Lake Steve,14:12:57,0.68,No,17
33,Other,Australia,Unemployed,94319,50482,62,Medium,214,Monthly,388,8561,28,ETF,Cohen and Sons,8.2,4.71,0.87,464731,27248,66118,12,Yes,7085,9/15/2020,No,0.35,Single,2,PhD,Poor,75,Rent,87397,5699,0.11,Intermediate,Home Purchase,Yes,0.1,No,No,Yes,Defined Contribution,Bucket,Branch,North Jeremy,22:49:44,0.26,No,17
30,Male,Australia,Self-employed,90776,265560,61,High,1363,Annually,136,20366,38,Stocks,Esparza and Sons,7.35,3.55,0.59,221477,54499,31425,29,No,2952,8/16/2024,No,0.85,Married,4,High School,Poor,92,Rent,187825,6970,0.22,Expert,Legacy Planning,No,0.23,Yes,No,Yes,Defined Contribution,Bucket,Online,Port Kennethstad,20:59:59,0.24,No,24
32,Male,UK,Unemployed,112244,396470,64,Medium,1309,Annually,639,10856,23,Bonds,"Turner, Salazar and Allen",4.9,1.41,1.86,707453,61639,68415,11,Yes,7660,4/8/2023,No,0.98,Divorced,0,Bachelor's,Good,94,Rent,179468,5308,0.13,Intermediate,Healthcare,Yes,0.66,Yes,No,Yes,Defined Contribution,Dynamic,Branch,Lake Jeffreystad,7:36:44,0.27,No,2
61,Female,UK,Self-employed,122418,238641,67,Low,1081,Annually,221,23861,9,Mutual Fund,"Williams, Rice and Lucero",4.47,4.76,0.67,314252,48279,20644,10,Yes,7001,12/28/2021,No,0.32,Single,1,High School,Good,92,Own,13865,1973,0.25,Beginner,Travel,Yes,0.84,No,No,No,Defined Benefit,Fixed,ATM,Port Johnhaven,1:44:57,0.76,No,5
26,Male,UK,Self-employed,86257,48044,66,Medium,1956,Annually,587,20628,25,Stocks,"Jensen, Lee and Peters",5.67,3.65,1.5,974348,31662,63310,11,No,5666,2/28/2023,No,0.72,Widowed,2,High School,Poor,77,Mortgage,190794,2405,0.29,Expert,Travel,Yes,0.72,No,Yes,Yes,Defined Benefit,Fixed,Branch,Brooksburgh,9:43:06,0.89,No,27
63,Male,Australia,Self-employed,66533,452894,69,Medium,614,Monthly,705,22726,10,Real Estate,"Everett, Marshall and Rogers",11,2.15,0.77,593922,69812,29596,20,No,7623,2/11/2020,No,0.12,Widowed,2,Bachelor's,Average,83,Rent,71494,7633,0.18,Intermediate,Legacy Planning,No,0.7,No,Yes,Yes,Defined Benefit,Bucket,ATM,West Katherine,3:25:11,0.72,No,29
35,Male,Australia,Full-time,57042,493655,67,Medium,235,Annually,634,7081,21,Mutual Fund,Hayes Group,6.33,1.39,0.91,194361,34934,15624,29,Yes,4198,6/28/2021,No,0.58,Single,4,Master's,Average,78,Own,112541,1507,0.19,Intermediate,Travel,No,0.59,No,Yes,No,Defined Benefit,Dynamic,Online,Griffinport,15:52:35,0.86,Yes,28
57,Male,Canada,Retired,145804,377245,62,Low,641,Quarterly,92,5534,36,Bonds,Martinez and Sons,8.1,2.76,1.76,346431,19814,49317,10,No,2139,9/23/2024,No,0.67,Divorced,3,Bachelor's,Good,90,Own,43024,2767,0.1,Intermediate,Healthcare,Yes,0.51,No,Yes,Yes,Defined Benefit,Dynamic,Online,Michaelbury,2:58:11,0.34,No,5
54,Other,Germany,Self-employed,88087,36148,67,Low,1155,Monthly,246,16048,31,Real Estate,"Bryant, Webb and Richardson",9.95,3.31,1.26,169741,39341,8222,13,Yes,3126,4/19/2020,No,0.3,Divorced,3,PhD,Average,82,Own,23378,1939,0.1,Beginner,Legacy Planning,Yes,0.99,No,Yes,Yes,Defined Benefit,Bucket,Branch,Danielmouth,21:40:46,0.08,Yes,23
59,Female,USA,Retired,104519,337102,65,High,598,Quarterly,586,17094,4,Bonds,"Waters, Mendoza and Peterson",10.23,4.1,1.39,748258,71522,49954,10,Yes,9008,7/14/2025,No,0.54,Married,2,High School,Poor,94,Mortgage,141853,7498,0.16,Beginner,Legacy Planning,No,0.69,No,Yes,Yes,Defined Benefit,Fixed,Online,Joneshaven,23:16:18,0.65,No,11
43,Female,Canada,Retired,41322,73012,61,High,1609,Annually,539,3329,24,Stocks,"Cruz, Garcia and Henry",2.53,3.16,1.03,689184,13333,73889,14,No,8842,1/9/2020,No,0.79,Widowed,2,High School,Average,80,Rent,125188,3736,0.24,Expert,Healthcare,No,0.54,No,No,No,Defined Benefit,Dynamic,Branch,Allisonfort,5:10:09,0.13,No,11
33,Male,Australia,Unemployed,144945,95969,61,Low,1720,Annually,741,22671,26,Mutual Fund,Herrera Ltd,3.91,4.58,1.17,527840,44837,25975,19,No,2013,1/20/2023,No,0.21,Divorced,3,Bachelor's,Average,93,Own,177246,8647,0.17,Intermediate,Legacy Planning,No,0.25,No,Yes,Yes,Defined Benefit,Dynamic,Branch,New Jeffreyton,19:15:30,0.36,No,29
33,Female,Canada,Retired,149376,420407,60,Medium,706,Annually,9,9584,29,Mutual Fund,"Walker, Duran and Larson",10.51,2.79,0.46,447156,79839,27731,25,Yes,8171,8/28/2022,No,0.95,Widowed,0,Bachelor's,Good,78,Rent,55687,1277,0.08,Intermediate,Healthcare,No,0.83,No,Yes,No,Defined Benefit,Dynamic,Branch,Carrshire,20:07:39,0.38,No,23
60,Other,Canada,Self-employed,141947,379414,66,High,1721,Annually,516,17662,10,Mutual Fund,"Rogers, Lewis and Weber",2.85,3.96,0.26,478830,62375,44385,23,Yes,5299,9/4/2020,No,0.32,Widowed,0,High School,Good,90,Mortgage,45725,9453,0.1,Beginner,Legacy Planning,Yes,0.2,Yes,Yes,No,Defined Benefit,Fixed,Branch,Hickschester,20:47:40,0.77,No,6
52,Female,UK,Unemployed,70203,52087,69,Medium,318,Annually,473,9496,32,ETF,Bell-Taylor,11.98,1.69,1.1,281082,24026,51055,21,Yes,4750,12/19/2023,No,0.06,Single,1,PhD,Poor,83,Own,43394,1471,0.13,Beginner,Legacy Planning,No,0.54,Yes,No,Yes,Defined Contribution,Bucket,Online,Heatherberg,8:51:41,0.72,No,29
34,Female,Germany,Full-time,149425,240062,60,Low,882,Monthly,115,17147,31,Mutual Fund,Murphy Inc,3.36,4.12,0.38,972705,33863,44943,29,Yes,7577,3/11/2023,Yes,0.36,Single,4,Bachelor's,Poor,89,Mortgage,10214,3094,0.2,Expert,Home Purchase,No,0.33,Yes,No,Yes,Defined Contribution,Bucket,ATM,North Jacob,17:42:23,0.56,No,4
31,Male,Australia,Self-employed,133701,289428,66,High,1540,Monthly,659,15922,22,Mutual Fund,Williams Ltd,8.34,2.79,0.45,997093,76413,14344,14,Yes,3251,3/20/2021,No,0.54,Widowed,0,PhD,Poor,84,Rent,68679,2336,0.25,Intermediate,Legacy Planning,No,0.68,Yes,No,No,Defined Contribution,Fixed,ATM,Lake Timothy,19:32:50,0.34,No,27
54,Male,Canada,Unemployed,103472,235160,68,Low,673,Monthly,902,7080,7,Bonds,Lewis-Wilkinson,7.47,4.9,1.73,742030,63025,36634,20,No,7634,9/28/2024,No,0.78,Divorced,3,High School,Good,77,Mortgage,199949,6363,0.29,Expert,Home Purchase,No,0.53,Yes,No,No,Defined Benefit,Dynamic,Online,West Hannah,13:47:18,0.71,No,14
40,Male,Germany,Full-time,51548,30613,61,High,102,Annually,698,13023,13,Mutual Fund,Brock Group,2.86,2.76,0.45,733739,21862,52903,19,No,6585,10/22/2021,Yes,0.1,Married,2,PhD,Poor,75,Own,143199,1515,0.07,Expert,Travel,No,0.76,Yes,Yes,Yes,Defined Contribution,Dynamic,Branch,South Heather,8:47:15,0.65,No,12
56,Female,Germany,Unemployed,74066,305735,61,High,867,Annually,274,8663,5,Bonds,"Mitchell, Berry and Turner",9.2,2.42,1.34,844866,31363,63479,25,No,2002,5/2/2021,No,0.01,Single,0,Bachelor's,Poor,87,Rent,171239,7011,0.13,Expert,Healthcare,No,0.92,No,Yes,Yes,Defined Contribution,Bucket,Branch,Danielburgh,5:26:30,0.82,No,28
42,Other,Canada,Unemployed,58988,416455,69,Medium,451,Quarterly,530,10663,19,Mutual Fund,"Jones, Moore and Short",6.91,1.23,1.95,652694,49271,44601,13,No,426,4/3/2020,No,0.32,Divorced,3,High School,Good,87,Rent,154214,2014,0.12,Expert,Legacy Planning,Yes,0.34,Yes,Yes,No,Defined Contribution,Fixed,ATM,North Frankhaven,13:12:07,0.91,No,5
30,Other,USA,Part-time,86321,33696,61,High,341,Quarterly,850,23180,7,Mutual Fund,Jones and Sons,2.53,2.19,0.75,54389,26116,19588,15,Yes,6253,9/17/2024,No,0.9,Divorced,0,High School,Average,87,Own,124959,6967,0.11,Expert,Travel,No,0.81,Yes,No,Yes,Defined Contribution,Dynamic,Branch,Paulhaven,10:15:17,0.37,No,14
56,Female,Germany,Unemployed,116764,475020,68,Low,671,Quarterly,108,5648,9,ETF,Hunter LLC,10.26,4.62,0.38,655467,34114,35267,20,No,4124,12/21/2022,No,0.12,Divorced,1,Master's,Good,85,Own,152685,1450,0.17,Intermediate,Home Purchase,Yes,0.74,No,Yes,Yes,Defined Contribution,Fixed,Branch,New Melissa,2:05:08,0.28,No,17
30,Male,Australia,Part-time,61157,282720,67,Medium,1022,Monthly,564,19673,7,Stocks,Tucker-Carr,4.13,2.81,1.48,636185,20884,27911,23,Yes,3309,4/22/2020,No,0.64,Divorced,0,PhD,Good,82,Rent,41479,3649,0.25,Expert,Legacy Planning,Yes,0.44,Yes,Yes,Yes,Defined Contribution,Bucket,Branch,Ingramshire,16:31:01,0.46,No,5
33,Male,Germany,Unemployed,88740,51305,64,Medium,1332,Quarterly,976,14917,19,Bonds,"Martinez, Brooks and Mason",2.9,1.43,0.13,116429,79936,51692,13,Yes,2918,8/4/2020,No,0.83,Divorced,3,Master's,Good,85,Mortgage,26281,2569,0.22,Beginner,Travel,Yes,0.78,Yes,No,No,Defined Contribution,Dynamic,ATM,North Lawrence,11:06:01,0.41,No,15
29,Other,Germany,Part-time,79455,464778,61,Medium,316,Annually,180,17131,5,Mutual Fund,Hernandez LLC,11.32,3.52,0.17,159608,61874,34767,19,Yes,9431,2/25/2024,Yes,0.7,Single,4,High School,Poor,77,Rent,145787,1872,0.12,Intermediate,Healthcare,No,0.17,No,Yes,Yes,Defined Benefit,Bucket,Online,East Ericaview,9:39:17,0.67,No,27
40,Male,Germany,Full-time,138541,79878,61,Medium,990,Quarterly,191,16535,23,Stocks,Martinez Ltd,8,4.91,1.93,362043,16760,27023,16,Yes,3858,4/13/2020,No,0.44,Divorced,0,Master's,Poor,87,Mortgage,154850,2419,0.08,Beginner,Healthcare,No,0.91,No,No,No,Defined Benefit,Dynamic,ATM,Larryfurt,4:12:57,0.31,No,20
52,Other,Australia,Part-time,63326,250904,61,Medium,1998,Monthly,201,17734,27,Real Estate,Edwards and Sons,8.02,3.34,0.35,330369,18360,53546,24,No,6954,1/5/2020,No,0.94,Divorced,2,PhD,Average,78,Own,144629,8496,0.16,Intermediate,Legacy Planning,No,0.49,Yes,No,Yes,Defined Benefit,Dynamic,Branch,Jenniferbury,9:23:23,0.15,No,19
48,Other,UK,Full-time,56429,273080,63,Low,231,Quarterly,354,14972,1,Stocks,"Smith, Smith and Jones",3.34,3.72,0.55,495723,32168,47713,21,No,3024,7/25/2021,No,0.58,Divorced,0,High School,Good,76,Mortgage,116524,6631,0.21,Beginner,Healthcare,Yes,0.28,No,No,Yes,Defined Benefit,Dynamic,Branch,South Hannah,3:56:30,0.12,No,26
58,Other,Germany,Full-time,48690,25903,68,Medium,1659,Monthly,25,15548,38,Mutual Fund,Clark Inc,4.72,2.05,0.61,502509,12879,34453,19,Yes,1841,12/18/2022,No,0.5,Divorced,2,Bachelor's,Average,82,Mortgage,147372,4751,0.19,Expert,Legacy Planning,No,0.17,Yes,Yes,No,Defined Contribution,Bucket,Online,Jaimemouth,1:58:04,0.53,No,21
36,Female,Canada,Self-employed,135283,63375,65,Medium,498,Annually,96,7453,28,Mutual Fund,Roy Inc,6.78,3.7,1.44,637952,30796,12563,14,Yes,7234,12/27/2023,No,0.12,Single,3,Master's,Average,86,Rent,97713,6803,0.28,Intermediate,Home Purchase,No,0.45,No,Yes,No,Defined Benefit,Dynamic,Online,Port Deborahchester,12:00:14,0.43,No,26
56,Female,USA,Unemployed,127235,427109,64,Low,1050,Monthly,834,16006,15,Bonds,Cook and Sons,4.74,4.68,1.57,882775,67879,71573,24,No,7557,5/1/2024,No,0.38,Divorced,2,PhD,Poor,75,Rent,95354,6418,0.16,Beginner,Healthcare,No,0.58,Yes,Yes,No,Defined Benefit,Fixed,Online,North Leslie,21:57:02,0.2,No,9
34,Other,UK,Part-time,98415,316962,67,Medium,1604,Monthly,541,8879,12,Bonds,Rosario Inc,9.21,2.83,0.85,832015,16023,56435,24,No,8815,1/19/2025,No,0.34,Married,4,Master's,Good,91,Rent,193760,5374,0.24,Intermediate,Legacy Planning,Yes,0.65,Yes,No,Yes,Defined Benefit,Fixed,Branch,Lake Mark,13:23:51,0.84,No,22
41,Female,Australia,Retired,60684,23608,65,High,1360,Monthly,739,7123,32,Stocks,Murphy Group,10.47,1.2,0.56,837084,38122,70446,10,Yes,5423,3/20/2022,No,0.48,Married,2,Bachelor's,Good,80,Mortgage,182929,3334,0.3,Expert,Legacy Planning,No,0.71,Yes,No,Yes,Defined Contribution,Bucket,Online,South Tara,15:19:36,0.08,No,29
28,Male,USA,Full-time,84812,205818,65,Low,1275,Monthly,275,12618,21,Real Estate,"Montoya, Johnson and Martinez",4.64,4.7,0.84,925128,66127,19463,29,Yes,6260,8/13/2022,No,0.41,Single,1,Master's,Poor,89,Rent,17351,8234,0.22,Intermediate,Legacy Planning,Yes,0.36,No,Yes,Yes,Defined Contribution,Bucket,Online,East Charlene,8:59:24,0.59,No,7
59,Female,Australia,Full-time,127285,254056,60,Medium,547,Quarterly,668,2254,17,Stocks,Arellano Group,10.67,2.16,1.06,475336,33849,63981,29,No,5583,2/12/2025,No,0.44,Married,2,Master's,Poor,76,Rent,163052,6144,0.27,Intermediate,Home Purchase,Yes,0.39,Yes,No,Yes,Defined Benefit,Bucket,ATM,Port Jaime,5:37:54,0.18,No,20
43,Male,Australia,Self-employed,37868,91078,66,Medium,243,Annually,599,6595,36,Mutual Fund,Knight-Oliver,8.9,1.47,1.48,935284,31331,49618,12,Yes,4990,11/7/2021,No,0.27,Single,0,Master's,Poor,87,Own,190652,1184,0.14,Beginner,Travel,Yes,0.46,Yes,Yes,No,Defined Contribution,Fixed,Branch,Port Nicholas,18:18:01,0.7,No,9
36,Male,Canada,Unemployed,57560,58371,60,High,1302,Quarterly,294,23542,28,Bonds,Lang LLC,7.39,3.44,1.04,161567,27673,70280,25,No,8128,8/4/2020,Yes,0.76,Widowed,2,High School,Good,79,Mortgage,2776,8951,0.21,Beginner,Travel,Yes,0.25,No,Yes,No,Defined Contribution,Dynamic,ATM,Peterland,4:20:40,0.32,No,25
36,Other,UK,Self-employed,102056,147040,62,Low,1774,Annually,726,21747,7,ETF,Norris and Sons,10.75,4.76,0.64,446658,18823,57027,14,No,7746,4/14/2020,No,0.61,Divorced,2,High School,Poor,89,Rent,142027,8537,0.13,Expert,Home Purchase,Yes,0.55,Yes,No,Yes,Defined Contribution,Fixed,Online,Walterchester,11:54:55,0.78,No,24
50,Female,Canada,Unemployed,121974,210214,66,Medium,662,Annually,209,6052,8,Stocks,Burns Ltd,9.52,2.79,1.04,892364,39388,70408,15,Yes,3120,3/5/2021,No,0.21,Single,2,Master's,Poor,91,Mortgage,124802,2582,0.25,Beginner,Travel,No,0.15,No,Yes,No,Defined Contribution,Dynamic,Online,Colestad,2:05:49,0.98,No,15
26,Other,Germany,Part-time,115428,427496,62,High,1269,Monthly,95,5933,5,Mutual Fund,"Schultz, Barron and Brown",11.2,3.52,0.14,303220,33670,28176,23,No,3395,3/25/2021,No,0.41,Single,2,Master's,Poor,90,Rent,102881,2223,0.12,Beginner,Home Purchase,No,0.84,Yes,No,No,Defined Contribution,Dynamic,Branch,Nicolestad,8:37:54,0.79,No,21
55,Female,UK,Part-time,108473,152092,61,Medium,1913,Annually,423,5001,11,Real Estate,"Carlson, Oneill and Kramer",6.66,2.22,0.69,726343,34551,48611,11,Yes,6192,3/9/2020,No,0.77,Widowed,2,Master's,Average,90,Mortgage,236,6845,0.29,Beginner,Healthcare,Yes,0.44,No,Yes,Yes,Defined Contribution,Fixed,Online,Hannahstad,4:22:01,0.46,No,29
61,Female,UK,Full-time,134582,390181,67,Medium,187,Annually,719,13028,1,ETF,Hammond LLC,5.33,2.43,1.35,79890,72888,52404,21,No,210,12/26/2022,No,0.47,Widowed,4,Bachelor's,Good,83,Mortgage,67423,6420,0.21,Intermediate,Home Purchase,Yes,0.99,Yes,No,Yes,Defined Benefit,Dynamic,Branch,South Christopherton,19:23:27,0.6,No,24
42,Other,USA,Self-employed,46311,151465,64,Low,260,Monthly,104,10232,23,Mutual Fund,Ayala-Anderson,6.88,1,0.79,465204,33011,21550,25,Yes,9897,9/24/2022,No,0.9,Single,0,Bachelor's,Average,91,Own,127758,8548,0.1,Intermediate,Healthcare,Yes,0.71,Yes,No,No,Defined Contribution,Bucket,ATM,South Matthew,4:08:28,0.26,No,7
43,Other,USA,Unemployed,58471,356178,60,High,1381,Quarterly,718,22938,29,Real Estate,Schmitt and Sons,10.37,4.83,1.85,179365,17512,20178,14,No,9620,1/30/2023,No,0.52,Single,0,PhD,Average,78,Mortgage,75757,2817,0.21,Intermediate,Travel,No,0.53,Yes,Yes,No,Defined Contribution,Dynamic,Online,Wilkinston,12:18:56,0.31,No,14
43,Other,Australia,Retired,120110,199077,69,Medium,217,Monthly,499,21133,22,Bonds,"Richards, Whitehead and Medina",4.14,4.88,0.37,573294,47371,27335,17,No,7056,5/27/2020,No,0.81,Divorced,2,PhD,Poor,89,Own,29817,7935,0.25,Beginner,Home Purchase,No,0.44,Yes,Yes,Yes,Defined Contribution,Bucket,ATM,Lake Tinachester,9:28:01,0.75,No,13
61,Other,Germany,Part-time,136355,318759,64,High,264,Monthly,811,6090,12,ETF,Cooley-Smith,11.06,2.94,1.39,316858,44041,72517,16,Yes,2400,2/12/2023,No,0.11,Divorced,3,Master's,Average,89,Own,173482,4724,0.15,Intermediate,Home Purchase,No,0.43,Yes,No,No,Defined Contribution,Bucket,Online,North Meghanland,19:23:15,0.87,No,9
60,Female,Canada,Part-time,117335,143548,66,High,1943,Monthly,490,21278,11,ETF,Bishop Ltd,3.3,3.04,0.45,722639,11462,34214,22,No,1322,3/9/2022,No,0.98,Single,4,Master's,Average,91,Own,103469,9008,0.06,Expert,Home Purchase,No,0.74,No,Yes,No,Defined Contribution,Bucket,Online,Josephton,16:11:04,0.27,No,4
58,Female,Germany,Unemployed,86471,230186,67,High,900,Quarterly,898,8938,19,Real Estate,Hampton-Osborn,8.13,4.32,1.05,274764,25493,72969,10,No,8837,5/3/2025,No,0.31,Married,0,Bachelor's,Good,75,Mortgage,18083,1933,0.23,Intermediate,Travel,No,0.22,No,Yes,No,Defined Benefit,Fixed,Branch,Bobbyshire,15:42:57,0.57,No,25
38,Male,UK,Unemployed,46998,311827,61,High,1799,Quarterly,251,14624,3,Real Estate,"Moore, Campbell and Underwood",4.25,3.11,1.91,692891,68412,18631,26,No,498,8/14/2024,No,0.56,Widowed,4,Bachelor's,Average,82,Own,119491,9351,0.22,Beginner,Travel,Yes,0.16,Yes,Yes,No,Defined Benefit,Bucket,Online,Nicoleshire,23:38:41,0.78,No,20
63,Male,USA,Retired,110297,301453,60,Medium,1396,Quarterly,955,15997,14,Stocks,Smith-Cook,7.64,3.4,1.09,209928,62553,47904,10,Yes,9282,10/2/2024,No,0.63,Single,1,Bachelor's,Good,78,Own,71112,8062,0.29,Beginner,Travel,Yes,0.57,Yes,Yes,No,Defined Contribution,Fixed,Online,Smithland,21:45:04,0.45,No,25
60,Male,Germany,Self-employed,145310,381114,69,High,813,Quarterly,329,4697,8,Stocks,Black Group,4.47,2.01,0.74,194979,10736,19837,11,No,3612,3/19/2025,No,0.65,Married,2,High School,Poor,87,Rent,140525,9113,0.11,Intermediate,Travel,No,0.79,Yes,No,No,Defined Contribution,Dynamic,Online,Terrellstad,3:47:27,0.3,No,18
45,Other,UK,Part-time,82646,98149,61,High,770,Quarterly,946,16490,38,Bonds,Gregory Group,7.15,3.17,0.94,421646,48277,73704,13,No,2700,4/4/2023,No,0.68,Single,0,PhD,Good,78,Mortgage,59025,6565,0.26,Intermediate,Home Purchase,Yes,0.57,Yes,No,No,Defined Benefit,Fixed,Online,Cookstad,22:56:41,0.71,No,9
28,Other,Germany,Self-employed,39617,498116,64,Low,1778,Quarterly,732,9468,32,Mutual Fund,"Kline, Miller and Guzman",5.92,1.74,0.28,616122,17348,14403,11,No,221,8/21/2024,No,0.31,Widowed,0,Master's,Poor,92,Rent,97479,9744,0.15,Intermediate,Legacy Planning,Yes,0.7,Yes,Yes,No,Defined Benefit,Bucket,Online,Arellanoshire,6:07:12,0.48,No,16
42,Male,Germany,Unemployed,40090,281323,62,Low,1487,Monthly,255,7174,3,ETF,Sanders-Moore,11.42,1.09,1.26,929057,76766,14430,10,No,6677,10/29/2020,No,0.48,Single,2,PhD,Average,86,Own,53927,7596,0.3,Beginner,Travel,No,0.51,Yes,No,No,Defined Contribution,Bucket,ATM,East Tyler,6:23:51,0.55,No,13
31,Female,UK,Full-time,125988,188719,69,High,827,Quarterly,392,16710,35,Bonds,"Villarreal, Thomas and Carr",2.86,4.48,1.85,578240,71435,67218,21,Yes,2500,11/16/2024,No,0.53,Divorced,3,PhD,Average,78,Rent,14298,3696,0.08,Intermediate,Healthcare,Yes,0.37,No,Yes,No,Defined Benefit,Fixed,Branch,South Melissamouth,4:24:25,0.03,No,9
56,Female,UK,Retired,142273,224931,61,Medium,311,Quarterly,617,18635,13,ETF,"Jones, Barnes and Morgan",7.11,2.66,0.63,515589,59838,58830,15,Yes,642,7/31/2022,No,0.32,Divorced,2,PhD,Poor,92,Own,188585,8409,0.06,Intermediate,Legacy Planning,No,0.37,Yes,Yes,No,Defined Contribution,Dynamic,Online,Mariaville,22:03:16,0.15,No,24
64,Female,Australia,Retired,136946,92145,62,Low,1686,Annually,968,20531,26,Mutual Fund,"Golden, Ryan and Barrett",10.37,4.15,1.29,643070,55410,60402,22,Yes,8038,7/30/2024,No,0.58,Divorced,2,PhD,Average,78,Mortgage,34251,4935,0.1,Intermediate,Healthcare,Yes,0.36,Yes,No,No,Defined Benefit,Dynamic,Online,Angelastad,4:31:55,0.46,No,24
59,Other,UK,Retired,140562,291218,67,High,1501,Monthly,858,8042,12,Stocks,Pugh and Sons,8.35,1.49,0.26,345684,25623,17370,23,No,7725,10/6/2020,Yes,0.35,Divorced,1,Master's,Average,82,Mortgage,129652,4801,0.24,Beginner,Travel,No,0.89,Yes,Yes,No,Defined Benefit,Fixed,Online,Lake Geraldchester,15:39:07,0.34,No,10
53,Other,Germany,Unemployed,63855,34193,67,Medium,376,Quarterly,602,10041,22,Real Estate,Smith and Sons,7.11,1.88,1.26,357438,39338,44879,20,Yes,5079,1/2/2023,No,0.34,Married,3,Master's,Good,76,Rent,64208,5357,0.18,Intermediate,Travel,No,0.86,Yes,Yes,Yes,Defined Contribution,Fixed,ATM,Taylorbury,23:42:51,0.16,No,1
39,Female,Australia,Retired,38337,313154,67,High,628,Quarterly,472,7531,4,Real Estate,Morgan and Sons,8.29,4.76,0.98,379899,42786,22319,12,Yes,5082,8/20/2020,No,0.31,Divorced,3,PhD,Average,76,Rent,120231,2214,0.11,Intermediate,Travel,Yes,0.54,No,Yes,No,Defined Benefit,Bucket,Online,West Randall,9:01:32,0.47,No,1
